"","X.1","X","Date","Date_Month","Date_Year","Name_Orig","Survey_ID","Obs","Data","Time","Tide","Notes_Survey","X..dead.inv","X..dead.plant","X.rock.sand","Distance_m","Degrees","Name_Closest","Name_General","Zonation","Site","Exposure","Quad_Type","Ahnfeltiopsis.linearis","Alaria.marginata","Anthopleura.elegantissima","Anthopleura.xanthogrammica","Aplidium.californicum","Aplysilla.glacialis","Archidistoma.ritteri","Balanus.spp.","blue.green.algae","Bornetia.californica","Bossiella.plumosa","Bossiella.schmittii.","Bryopsis.corticulans","bryozoan","Calliarthron.tuberculosum","Callithamnion.pikeanum","Callophyllis.sp_","Chondracanthus.canaliculatus","Chondracanthus.spinosus","Cladophora.columbiana","Cladophora.graminea","Cladophora.sp_","Colpomenia.peregrina","Corallina.vancouveriensis.","Corallina.eatoniana.","Corolla.spectabilis..Pteropod.","Crepipatella.lingulata","crustose.coralline.","Cryptopleura.spp","Cyanobacteria","diatom","Didemnum.carnulentum","Dilsea.californica","Egregia.menziesii","Elasmopus.serricatus","Endocladia.muricata","Erythrophyllum.delesseriodes","Farlowia.mollis","Fredericqia.chiton","Gelidium.spp.","Grateloupia.angusta","Grateloupia.cornea","Halichondria.sp_","Haliclona.spp.","Henricia.leviuscula","Higginsia.sp_","Hildenbrandia.spp.","hydrozoans..brown.","Hymenena.flabelligera","Katharina.tunicata","Lacuna.spp.","Leathesia.spp.","Leptasterias.spp.","Lepidochitona.dentiens","Ligia.sp_","Littorina.keenae.","Littorina.planaxis","Littorina.scutulata","Littorina.sitkana","Lottia.digitalis","Lottia.gigantea","Lottia.scabra","Lottia.pelta","Lottia.sp_","Lottia.strigatella","Maripelta.rotata","Mastocarpus.jardinii","Mastocarpus.papillatus","Mastocarpus.sp_","Mazzaella.affinis","Mazzaella.californica","Mazzaella.flaccida","Mazzaella.parksii","Mazzaella.oregona","Mazzaella.splendens","Microcladia.borealis","Microcladia.coulteri","Mopalia.ciliata","Mopalia.muscosa","Musculus.pygmaeus","Myriogramme.variegata","Mytilus.californianus.","Nemertea..Phylum.worm.","Neogastroclonium.subarticulatum","Neoptilota.hypnoides","Neorhodomela.larix","Nienburgia.sp_","Notoacmea.insessa","Notoacmea.persona","Nucella.canaliculata","Nucella.emarginata","Nucella.sp_","Nuttallina.californica","Odonthalia.floccosa","Ophlitaspongia.pennata","Opuntiella.californica","Osmundea.spectabilis","Pachygrapsus.crassipes","Pagurus.sp_","Petrocelis.phase.","Petrospongium.rugosum","Peyssonnelia.sp_","Phragmatopoma.californica","Phyllochaetopterus.prolifica","Phyllospadix.scouleri","Pisaster.ochraceus","Plocamium.spp.","Pollicipes.polymerus","Polyneura.latissima","Polysiphonia.hendryi","Polysiphonia.pacifica","Polysiphonia.savatieri","Polysiphonia.sp_","Porcellio.americanus","Porphyra.spp.","Porifera.spp.","Prasiola.sp_","Prionitis.lanceolata","Prionitis.sternbergii","Prionitis.sp.","Pterocladiella.caloglossoides","Pterocladia.capillacea","Pugettia.producta","Pugettia.sp_","Rhodymenia.californica","Rhodymenia.pacifica","Rhodymenia.sp_","Scytosiphon.lomentaria","Semibalanus.cariosus","Semibalanus.sp_","Serpula.sp_","Spirorbis.borealis","Strongylocentrotus.droebachiensis","Strongylocentrotus.franciscanus","Strongylocentrotus.purpuratus","Tegula.brunnea","Tegula.funebralis","Tethya.aurantium","Tetraclita.rubescens","Thelepus.crispus","Tonicella.lineata","Trimusculus.reticulatus","tropical.green","tunicate","Ulothrix.flacca","Ulva.spp.","Weeksia.reticulata","YYYY","MM","SEFI_SST_mean","SEFI_SST_anomalies","SEFI_SST_mean.1","SEFI_SST_anom.1","SEFI_SST_mean.2","SEFI_SST_anom.2","SEFI_SST_mean.3","SEFI_SST_anom.3","SEFI_SSS_mean","SEFI_SSS_anomalies","SEFI_SSS_mean.1","SEFI_SSS_anom.1","SEFI_SSS_mean.2","SEFI_SSS_anom.2","SEFI_SSS_mean.3","SEFI_SSS_anom.3","BB_alongshore.winds_mean","BB_alongshore.winds_anomalies","BB_alongshore.winds_mean.1","BB_alongshore.winds_anom.1","BB_alongshore.winds_mean.2","BB.alongshore.winds_anom.2","BB_alongshore.winds_mean.3","BB_alongshore.winds_anom.3","BB_wave.height_means","BB_wave.height_anomalies","BB_wave.height_mean.1","BB_wave.height_anom.1","BB_wave.height_mean.2","BB_wave.height_anom.2","BB_wave.height_mean.3","BB.wave.height_anom.3","chl.a_means","chl.a_anomalies","chl.a_mean.1","chl.a_anom.1","chla.a_mean.2","chl.a_anom.2","chla.a_mean.3","chl.a_anom.3","SLH_means","SLH_anomalies","SLH_mean.1","SLH_anom.1","SLH_mean.2","SLH_anom.2","SLH_mean.3","SLH_anom.3","PDO","PDO.1","PDO.2","PDO.3","SOI","SOI.1","SOI.2","SOI.3","NPGO","NPGO.1","NPGO.2","NPGO.3","BEUTI_37","BEUTI_37.1","BEUTI_37.2","BEUTI_37.3","CUTI_37","CUTI_37.1","CUTI_37.2","CUTI_37.3","air_temp_mean","air_temp_anom","air_temp_mean.1","air_temp_mean.2","air_temp_mean.3"
"44",44,44,"2/24/1994",2,1994,"Q9",10,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q9","Q9","Drunk Uncle Islet","Full","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,49,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,2,12.79565217,0.823202822,12.88275862,0.908168835,12.98235294,0.648603062,14.175,1.142727934,33.27434783,0.406851486,33.45448276,0.54436671,33.4,0.064816522,33.41083333,-0.013621201,-1.109616677,0.719507942,0.273909443,0.689398195,1.06992818,1.901138844,-1.571280357,0.892759388,2.470818629,-0.141390045,2.350565791,-0.267465601,3.068863955,0.404055481,2.123393171,-0.257314395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1.21,1.07,1.24,-0.1,-0.5,0.1,-0.3,-1.9786652,-1.8540143,-2.0005526,-2.9986692,0.464178571,0.146580645,-0.391580645,0.4851,0.063392857,0.023483871,-0.031096774,0.322933333,11.5,-1.6,12.5,11.9,13.7
"45",45,45,"2/26/1994",2,1994,"Q10",14,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q10","Q10","Raven's Cliff","Full","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1994,2,12.79565217,0.823202822,12.88275862,0.908168835,12.98235294,0.648603062,14.175,1.142727934,33.27434783,0.406851486,33.45448276,0.54436671,33.4,0.064816522,33.41083333,-0.013621201,-1.109616677,0.719507942,0.273909443,0.689398195,1.06992818,1.901138844,-1.571280357,0.892759388,2.470818629,-0.141390045,2.350565791,-0.267465601,3.068863955,0.404055481,2.123393171,-0.257314395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1.21,1.07,1.24,-0.1,-0.5,0.1,-0.3,-1.9786652,-1.8540143,-2.0005526,-2.9986692,0.464178571,0.146580645,-0.391580645,0.4851,0.063392857,0.023483871,-0.031096774,0.322933333,11.5,-1.6,12.5,11.9,13.7
"46",46,46,"2/26/1994",2,1994,"Q12",11,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q12","Q12","Raven's Cliff","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1994,2,12.79565217,0.823202822,12.88275862,0.908168835,12.98235294,0.648603062,14.175,1.142727934,33.27434783,0.406851486,33.45448276,0.54436671,33.4,0.064816522,33.41083333,-0.013621201,-1.109616677,0.719507942,0.273909443,0.689398195,1.06992818,1.901138844,-1.571280357,0.892759388,2.470818629,-0.141390045,2.350565791,-0.267465601,3.068863955,0.404055481,2.123393171,-0.257314395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1.21,1.07,1.24,-0.1,-0.5,0.1,-0.3,-1.9786652,-1.8540143,-2.0005526,-2.9986692,0.464178571,0.146580645,-0.391580645,0.4851,0.063392857,0.023483871,-0.031096774,0.322933333,11.5,-1.6,12.5,11.9,13.7
"47",47,47,"2/26/1994",2,1994,"Q13",14,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q13","Q13","Raven's Cliff","Full","Permanent",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,1994,2,12.79565217,0.823202822,12.88275862,0.908168835,12.98235294,0.648603062,14.175,1.142727934,33.27434783,0.406851486,33.45448276,0.54436671,33.4,0.064816522,33.41083333,-0.013621201,-1.109616677,0.719507942,0.273909443,0.689398195,1.06992818,1.901138844,-1.571280357,0.892759388,2.470818629,-0.141390045,2.350565791,-0.267465601,3.068863955,0.404055481,2.123393171,-0.257314395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1.21,1.07,1.24,-0.1,-0.5,0.1,-0.3,-1.9786652,-1.8540143,-2.0005526,-2.9986692,0.464178571,0.146580645,-0.391580645,0.4851,0.063392857,0.023483871,-0.031096774,0.322933333,11.5,-1.6,12.5,11.9,13.7
"48",48,48,"2/26/1994",2,1994,"Q14",14,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q14","Q14","Raven's Cliff","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,2,12.79565217,0.823202822,12.88275862,0.908168835,12.98235294,0.648603062,14.175,1.142727934,33.27434783,0.406851486,33.45448276,0.54436671,33.4,0.064816522,33.41083333,-0.013621201,-1.109616677,0.719507942,0.273909443,0.689398195,1.06992818,1.901138844,-1.571280357,0.892759388,2.470818629,-0.141390045,2.350565791,-0.267465601,3.068863955,0.404055481,2.123393171,-0.257314395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1.21,1.07,1.24,-0.1,-0.5,0.1,-0.3,-1.9786652,-1.8540143,-2.0005526,-2.9986692,0.464178571,0.146580645,-0.391580645,0.4851,0.063392857,0.023483871,-0.031096774,0.322933333,11.5,-1.6,12.5,11.9,13.7
"49",49,49,"2/26/1994",2,1994,"Q15",14,"XX","y",NA,NA,"y",NA,NA,NA,NA,NA,"","Q15","Q15","Raven's Cliff","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,1994,2,12.79565217,0.823202822,12.88275862,0.908168835,12.98235294,0.648603062,14.175,1.142727934,33.27434783,0.406851486,33.45448276,0.54436671,33.4,0.064816522,33.41083333,-0.013621201,-1.109616677,0.719507942,0.273909443,0.689398195,1.06992818,1.901138844,-1.571280357,0.892759388,2.470818629,-0.141390045,2.350565791,-0.267465601,3.068863955,0.404055481,2.123393171,-0.257314395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1.21,1.07,1.24,-0.1,-0.5,0.1,-0.3,-1.9786652,-1.8540143,-2.0005526,-2.9986692,0.464178571,0.146580645,-0.391580645,0.4851,0.063392857,0.023483871,-0.031096774,0.322933333,11.5,-1.6,12.5,11.9,13.7
"50",50,50,"9/4/1994",9,1994,"BLOW_HI",35,"XX","y",NA,NA,"y",NA,NA,39,7.29,209,"Q2","BLOW","BLOW","Blowhole Peninsula","Full","Random",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"51",51,51,"9/4/1994",9,1994,"BLOW_HI",36,"XX","y",NA,NA,"y",NA,NA,4,6.02,258,"Q3","BLOW","BLOW","Blowhole Peninsula","Full","Random",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"52",52,52,"9/4/1994",9,1994,"BLOW_MD",25,"XX","y",NA,NA,"y",NA,NA,3,6.25,61,"Q1","BLOW","BLOW","Blowhole Peninsula","Unk","Random",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,41,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"53",53,53,"9/4/1994",9,1994,"Q1",24,"XX","y",NA,NA,"y",NA,NA,0,NA,NA,"","Q1","Q1","Blowhole Peninsula","Semi","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"54",54,54,"9/4/1994",9,1994,"Q2",25,"XX","y",NA,NA,"y",NA,NA,0,NA,NA,"","Q2","Q2","Blowhole Peninsula","Semi","Permanent",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"55",55,55,"9/4/1994",9,1994,"Q3",25,"XX","y",NA,NA,"y",NA,NA,1,NA,NA,"","Q3","Q3","Blowhole Peninsula","Full","Permanent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,46,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"56",56,56,"9/5/1994",9,1994,"LOAR_MD",23,"XX","y",NA,NA,"y",NA,NA,13,5.36,115,"Q18","LOAR","LOAR","Low Arch","Semi","Random",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
"57",57,57,"9/5/1994",9,1994,"LOAR_MD",24,"XX","y",NA,NA,"y",NA,NA,NA,3.58,18,"Q16","LOAR","LOAR","Low Arch","Semi","Random",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,46,0,1994,9,13.42758621,-0.338648631,12.88709677,-0.311038797,11.65483871,-0.710339716,11.42592593,-0.194187698,33.70413793,0.111086973,33.72115385,0.038673239,33.88032258,0.117163201,34.05652174,0.295044756,-3.042538197,1.292696169,-5.998969658,-0.996131143,-4.045090259,1.296300678,-7.868760157,-0.965035315,1.633193231,-0.102550489,1.811408907,0.206865225,1.888931477,0.14737269,2.055411293,0.023192031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.36,-0.79,0.06,0.46,-3,-2.9,-2.9,-1.5,-1.1048639,-0.85876787,-0.71112965,-0.61160343,1.092666667,4.492741935,3.903096774,16.01803333,0.337333333,0.761387097,0.36583871,1.1511,14.6,1.6,14.1,12.8,12.6
